# Captured cache-invalidation notification payloads
2026-08-09T10:40:16.2055312+00:00 connection=capture-1 sequence=31 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":31,"Reason":"Document:Put"}}
2026-08-09T10:40:16.2144888+00:00 connection=capture-4 sequence=33 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":33,"Reason":"Document:Put"}}
2026-08-09T10:40:16.2192544+00:00 connection=capture-2 sequence=33 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":33,"Reason":"Document:Put"}}
2026-08-09T10:40:16.2240368+00:00 connection=capture-3 sequence=33 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":33,"Reason":"Document:Put"}}
2026-08-09T10:40:16.2268812+00:00 connection=capture-4 sequence=34 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":34,"Reason":"Document:Put"}}
2026-08-09T10:40:16.2325619+00:00 connection=capture-3 sequence=34 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":34,"Reason":"Document:Put"}}
2026-08-09T10:40:16.2497166+00:00 connection=capture-2 sequence=34 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":34,"Reason":"Document:Put"}}
2026-08-09T10:40:16.2538509+00:00 connection=capture-2 sequence=35 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":35,"Reason":"Document:Put"}}
2026-08-09T10:40:16.2605692+00:00 connection=capture-4 sequence=35 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":35,"Reason":"Document:Put"}}
2026-08-09T10:40:16.2640925+00:00 connection=capture-1 sequence=32 fields=Generation contract=ignored payload={"Type":"CacheInvalidation","Value":{"Generation":32}}
2026-08-09T10:40:16.2670875+00:00 connection=capture-1 sequence=33 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":33,"Reason":"Document:Put"}}
2026-08-09T10:40:16.2738338+00:00 connection=capture-3 sequence=35 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":35,"Reason":"Document:Put"}}
2026-08-09T10:40:16.2794349+00:00 connection=capture-3 sequence=36 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":36,"Reason":"Document:Put"}}
2026-08-09T10:40:16.2905127+00:00 connection=capture-1 sequence=34 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":34,"Reason":"Document:Put"}}
2026-08-09T10:40:16.2986052+00:00 connection=capture-1 sequence=35 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":35,"Reason":"Document:Put"}}
2026-08-09T10:40:16.3017388+00:00 connection=capture-4 sequence=36 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":36,"Reason":"Document:Put"}}
2026-08-09T10:40:16.3054219+00:00 connection=capture-2 sequence=36 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":36,"Reason":"Document:Put"}}
2026-08-09T10:40:16.3186190+00:00 connection=capture-1 sequence=36 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":36,"Reason":"Document:Put"}}
2026-08-09T10:40:19.3962774+00:00 connection=capture-1 sequence=37 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":37,"Reason":"Document:Put"}}
2026-08-09T10:40:19.4051235+00:00 connection=capture-2 sequence=37 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":37,"Reason":"Document:Put"}}
2026-08-09T10:40:19.4003253+00:00 connection=capture-4 sequence=37 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":37,"Reason":"Document:Put"}}
2026-08-09T10:40:19.4262876+00:00 connection=capture-3 sequence=37 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":37,"Reason":"Document:Put"}}
2026-08-09T10:40:19.4302312+00:00 connection=capture-2 sequence=38 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":38,"Reason":"Document:Put"}}
2026-08-09T10:40:19.4396612+00:00 connection=capture-3 sequence=38 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":38,"Reason":"Document:Put"}}
